UserId,RecommendedItemIds
326,21354 9548 27827 11862 8630
327,24098 24149 27595 30414 32849
333,28840 26540 21354 7492 34756
336,27595 29283 32733 18512 855
337,37062 9548 19911 30172 15076
339,19111 14065 30266 8967 29579
344,28207 30548 30409 36705 30172
350,8884 19584 24391 27595 8880
353,19476 28271 17236 3282 28207
355,22965 13360 15510 3051 31002
359,34326 8828 21112 13960 26607
361,28840 4063 26540 21354 35646
364,35999 30266 24487 28840 34756
365,14653 26459 18418 12635 32797
374,9548 30059 33827 15928 35646
375,28198 25812 20144 22965 30187
376,33827 30059 21354 15928 1258
378,25812 1509 27842 30187 27595
379,20144 22965 28198 24815 25812
380,28198 30548 30172 28207 14046
383,21511 28271 11977 18211 34664
385,28198 28840 26540 20731 20532
388,28198 13015 35646 30477 1782
390,11927 12635 36173 6721 8844
393,33261 26459 36960 3751 6721
399,28207 30187 9548 27180 17236
401,28207 19476 14073 18512 7337
405,26459 29579 32797 35988 29813
412,14653 27595 27323 9667 24815
413,28198 14046 22965 7064 20144
415,3751 31002 18729 36608 21737
418,31119 28207 14371 28840 22965
431,15804 32187 21615 13981 10603
433,20144 24815 15803 30072 22965
441,32187 21615 25860 21775 9548
443,8999 6135 22965 34405 33523
445,21511 34664 6245 19584 28271
449,14415 3904 8999 25016 29187
456,30266 33827 21229 8336 8720
458,9548 30187 28207 28198 21354
459,3960 34215 12402 26607 24585
463,26540 30694 28840 855 18512
466,28207 19476 19272 25992 17236
477,30187 18512 28207 28840 27595
478,31119 12094 18512 29283 28207
481,20934 26222 27595 33501 35069
487,19989 30668 14653 35669 15672
488,14653 27595 20144 26246 31632
491,9548 30187 22965 13489 30059
494,17236 28207 10782 19476 14073
503,27595 22880 110 9089 34303
504,18512 19112 30187 9784 28198
508,21788 434 14653 21108 20390
509,8999 12852 8996 33523 10317
510,9548 18512 30266 26459 30187
511,27595 28207 34215 29283 627
516,31632 19112 11012 12778 505
524,20144 14371 10782 29283 3960
527,19920 12094 34885 17593 19476
531,9548 14415 711 30429 37062
532,28840 28198 30187 18512 9548
541,28198 18512 13489 22965 9548
542,14653 26169 34903 4181 34177
543,3960 31119 26607 717 29283
549,30668 25912 31119 19111 32797
551,18512 28207 14371 27595 855
559,2871 28498 13015 32535 29103
565,7567 29103 30668 13464 29578
568,9548 28207 30266 30187 31417
569,30266 5728 26459 17236 16256
572,9784 7948 18512 7318 30187
582,27595 31632 855 21714 30414
589,33874 28207 8589 5728 35407
590,19111 14371 27595 15854 21028
592,9089 9548 11578 30187 13489
595,32187 235 7948 34326 19476
599,14653 36960 8884 26459 17307
600,28840 24815 855 22965 6178
603,1819 855 27595 30414 18512
605,17540 26923 6178 1228 30265
606,14653 13981 4602 4113 32187
615,30187 9548 27595 29283 9089
616,9548 30187 27595 21354 12876
617,35988 9548 30266 19445 31015
621,14653 18512 28198 31298 855
632,27595 855 30187 29283 33953
643,27595 30187 9548 12876 22965
646,8406 28198 32797 36960 14653
651,33874 35999 5728 16269 34756
652,30266 8999 15434 18905 5015
653,13672 10517 19989 18434 17099
654,3904 34035 1106 26923 24155
658,27595 855 24149 14793 30694
659,30187 18512 28840 9548 9784
663,22965 30187 25812 7948 33953
665,32797 4478 3282 3751 18512
673,28207 28840 35407 18512 14073
675,24487 30059 31786 36501 6197
680,28840 1819 30266 26540 17034
681,27595 9089 12450 14195 110
684,27355 27595 3960 1153 20934
691,2871 35646 2232 33827 29054
696,855 26540 18512 24815 2003
700,10599 27595 35270 34215 9667
705,22965 25812 33827 7084 36608
706,28198 25812 28206 31002 25823
710,7948 30187 22965 19476 31119
712,31002 25812 11208 12738 33581
713,1819 28198 26540 28840 13428
715,33827 2232 14554 36449 26625
717,18512 8406 14653 28198 33794
722,28198 30694 26540 20532 7712
725,28198 20144 24815 14046 855
729,31756 3766 25971 10603 16409
733,3960 8720 28207 30409 35270
739,22965 33953 30187 34283 18512
741,5371 29845 31119 34092 17411
744,31632 24149 34716 2232 33291
747,30266 22640 36501 30059 27142
750,26459 9548 30266 28207 30187
757,17034 28207 28840 15803 27110
759,30187 34283 27842 28840 28207
761,19111 19112 31473 31119 14371
773,29103 20534 35964 30694 8108
777,31002 13672 505 19112 13489
780,111 29083 6721 2272 7524
782,9548 3904 13489 5967 34883
784,27323 7524 7562 35746 14073
787,18512 30187 28207 19889 11578
788,28207 31119 34092 17236 18512
789,28207 5054 30266 19476 14371
791,28207 23365 27842 25812 20080
792,30694 8796 26540 13981 4602
796,30187 9548 7948 18512 19476
801,30694 26540 15690 24815 15764
806,8996 10850 27827 10599 8999
808,9548 18512 30187 13981 4478
810,9548 28207 30187 30266 27595
813,3960 8720 30951 9213 20934
816,36705 18908 2877 30718 26923
820,29466 10031 16884 29283 19111
826,9548 21354 30059 30187 28840
827,31119 32797 14371 28198 7930
828,1162 18105 13960 35407 17256
831,24815 35407 35999 35044 111
833,27595 13981 18512 14653 30187
834,14653 28198 12635 14046 24815
835,37062 34092 31119 29578 20532
839,19476 6721 18921 26459 14073
850,30187 12094 9548 31119 18512
852,27323 23774 8720 111 18211
853,28207 18512 27842 9548 30187
854,30414 19476 18512 7337 10119
857,28207 19476 19272 25992 18512
862,25442 6721 30668 19476 29083
867,14653 18512 1137 26110 18477
869,28207 18512 855 28840 10551
873,29579 9548 30266 19112 7570
874,19112 18512 27842 24756 6090
879,2106 36583 36917 19883 31597
883,9089 14653 9548 19111 12450
884,22965 6178 28840 33953 34283
886,34664 22965 7948 28207 24815
888,8999 15803 22965 6135 20144
890,28207 7337 33874 30266 16141
899,26625 22920 3904 27595 33827
900,14653 27323 23431 8884 8029
905,28207 7337 18512 21511 34664
907,11012 30610 166 30274 12778
908,5622 13211 9327 27595 3499
909,18512 28207 26459 18921 14653
916,3960 29466 20934 32641 12450
919,30172 9548 15076 34883 20731
926,7524 111 29246 33968 28271
927,15803 24815 27469 14653 22965
929,18512 4478 28207 18921 32797
937,28207 28840 30187 18512 28198
942,9548 14653 27595 19584 24391
944,28207 30409 31119 21775 18477
946,25812 5054 5728 17236 28207
947,5728 28207 17236 30409 8720
949,28207 14653 28200 18512 855
956,8796 30694 26540 24297 34885
958,28840 34283 26540 21761 17034
961,19476 14653 7562 25442 12094
968,27595 28207 29283 30187 18512
969,15457 13159 12978 8142 22965
972,8646 28198 22965 33146 33558
977,28198 30172 36705 5371 31308
978,12402 23707 12332 3260 8339
979,27595 14653 855 18512 8966
982,30694 8796 35806 26540 24297
983,27595 14653 18512 29283 28200
987,8996 19584 31756 27827 347
990,31632 12876 30266 19845 14195
1005,9089 27595 11578 31632 14653
1010,34716 33146 33010 8142 18729
1011,28207 18512 36035 30548 28198
1014,30266 26459 21775 29579 19111
1016,9548 28198 30172 30266 30548
1017,16884 1399 13015 235 12450
1033,28198 22965 17034 21746 28840
1043,28271 5728 33581 8720 11208
1044,24391 13981 9327 27676 14653
1046,19112 21775 18477 27842 18512
1055,8721 11041 9548 33629 28185
1060,29579 9548 12450 4373 37062
1061,30414 27595 28210 24098 14195
1067,15434 12698 31786 12852 31177
1068,6197 20731 22797 6132 2871
1076,28207 20080 28271 19476 8406
1077,1819 30266 9548 31730 16141
1084,14415 5967 27842 13672 9548
1097,7524 21146 27118 25988 13400
1102,20144 15909 31632 26246 30072
1107,7696 33267 27355 15803 20934
1110,14371 11578 4138 26459 10782
1112,3960 30409 27595 35270 21775
1113,35407 28198 27951 8589 20144
1114,25812 32648 31002 11906 27091
1117,20934 20144 6135 27355 3960
1118,30274 26540 27110 20731 12794
1121,22965 18013 15510 36309 29845
1122,9548 13981 32187 29579 15804
1128,28207 14371 18512 19272 28200
1135,22965 24815 1153 15457 33953
1136,14653 27323 12635 36960 8884
1137,30668 35999 35988 26459 36583
1144,9548 30266 28207 18512 30187
1145,34885 10517 17099 28073 14829
1146,30694 14653 31119 20532 7712
1148,25812 34491 23299 30266 26234
1151,27595 20391 30072 31632 33635
1152,31119 28198 18512 32797 7712
1157,30266 9548 22640 27142 33827
1159,27469 30668 417 17590 21866
1161,13672 25812 31002 26234 21542
1163,28198 22965 20144 17034 25812
1165,22965 11578 17455 9089 35988
1173,31002 17099 13672 32648 3051
1175,27595 4223 29283 19584 13981
1177,14653 27595 855 31632 1819
1178,28198 32797 8031 19112 12635
1180,15672 30694 35669 26540 27718
1181,14653 26459 11927 28198 35407
1184,25812 27842 30187 28198 28207
1189,30266 9548 23777 13485 28207
1190,14653 27323 7562 22979 7520
1193,12402 26246 35646 3428 15909
1201,5054 17034 1819 14371 15803
1204,14415 25812 27842 3410 13489
1205,8999 14355 36449 20934 14554
1218,19476 28185 24098 3260 28210
1222,37062 9548 30266 10517 34885
1224,35999 14322 7999 28198 5550
1229,27595 14653 1137 8966 29283
1233,22965 28198 25812 17034 34283
1235,28073 17099 10517 26795 29511
1236,30266 27614 28198 5371 27469
1238,22965 26615 18512 17352 8589
1240,5775 19584 27827 24594 627
1249,19112 3751 4249 10834 1378
1256,30187 18512 27595 29283 9548
1263,23431 24709 32890 12599 36927
1264,27595 27842 30187 29283 14371
1279,14653 31119 7712 29283 30694
1280,20934 34215 9445 29466 36461
1282,34177 10621 15195 35407 6178
1289,28198 28840 26540 17034 20731
1291,166 30172 23360 15076 28589
1292,9548 30266 31730 28207 7492
1297,18512 28207 27595 7337 855
1298,14653 27595 18512 30414 13981
1314,28198 18512 28207 34177 14073
1316,35941 28198 13489 19112 5967
1322,14653 18512 28207 14073 28198
1327,12768 9548 28198 35646 24585
1333,26607 30694 31119 6178 9784
1334,8884 14653 26459 10782 14371
1335,28198 8589 17034 35999 18512
1336,14673 21293 26410 28843 6481
1343,14653 1378 30072 8884 24391
1345,28198 30274 1782 18729 17034
1346,28207 28034 21775 18477 30266
1348,17099 10517 37062 28073 9953
1356,9548 30187 27595 9089 12876
1361,22965 30187 27595 20144 33953
1365,5550 14322 10689 12698 14673
1373,12450 1715 17593 9548 37062
1378,27595 11578 14371 25812 8720
1379,27595 34215 29283 24585 4223
1387,10031 27842 19111 14415 26234
1391,1001 34885 27110 26607 2459
1405,14653 11862 11157 19072 19112
1406,9548 7318 30187 30266 17034
1408,28207 30187 9548 27180 17236
1416,9548 18512 35988 21354 30266
1417,28198 17034 22965 28840 13672
1418,27595 30414 110 33953 15482
1420,3410 22965 25812 25823 11578
1423,30668 35669 31632 30414 2329
1426,27842 30187 1509 25812 18480
1428,6721 26459 36583 12418 17236
1431,20080 18480 21542 21346 35713
1433,30266 28207 26459 18607 7337
1436,18512 28198 9548 14653 30187
1438,28207 9548 18512 30187 17034
1444,33982 19883 10603 2241 10095
1445,26459 17236 11906 28207 4138
1447,8844 35999 35746 26459 26573
1452,14653 15672 31632 30072 33635
1453,5371 28198 20144 20747 7930
1463,17671 36608 11578 20144 7950
1470,25812 11578 36608 17455 4138
1473,30409 28198 45 25812 14046
1474,9548 13672 19112 13489 18512
1476,28198 35806 33146 21761 35669
1481,9784 15076 34885 7581 21615
1484,9548 30266 27180 30172 13191
1486,28198 9548 30172 20731 13489
1487,14653 13489 34883 24391 9548
1493,14653 30694 855 8966 35067
1501,22965 24815 20144 6135 6178
1502,20144 10621 35407 29283 15195
1503,28198 28207 18512 30106 31119
1506,35988 9548 26305 3282 18512
1508,14653 855 24815 18512 30694
1509,28207 9548 30187 28198 18512
1510,17236 2440 12094 31119 34215
1511,28207 30266 33874 5054 15803
1516,9548 30059 27595 27842 19584
1527,27595 8720 33212 22880 23530
1528,36608 13489 31002 21737 13672
1538,10018 5622 32504 18456 15764
1547,12635 20731 31984 28198 15076
1551,14322 12698 2391 3129 2361
1555,27180 19272 23569 2556 24163
1560,19112 31002 13672 1378 14415
1564,9548 30266 34521 23360 28198
1572,28271 1559 8406 10119 1153
1576,9548 13489 14415 23500 30187
1577,26607 34756 19999 6704 34009
1578,35988 2329 29578 30668 22965
1587,9548 29283 30187 25505 29466
1588,28198 7930 14046 35407 5371
1606,14073 4181 34215 34177 10621
1607,14653 27595 29283 8884 1137
1617,28271 35044 111 23841 7064
1620,15803 18729 25812 18607 17034
1624,31119 29283 14371 28207 26607
1626,9548 30187 27595 21354 28207
1627,24149 2003 855 14653 30414
1635,11578 28198 14371 22965 20144
1636,10782 11906 17307 27827 35270
1637,25016 25812 18034 17256 717
1638,24163 9548 31756 32187 19584
1641,15672 24815 27355 3960 1153
1642,35646 34521 12768 9548 28198
1643,12450 21346 31473 19272 1715
1644,22965 6135 20144 26615 33523
1645,28856 8999 7696 14554 33212
1647,8589 21354 9548 33874 3076
1648,9548 25812 30187 28207 8589
1649,15151 27142 24841 15050 36501
1657,19233 17256 166 1190 31708
1658,11927 18557 31997 12094 2440
1661,28198 22965 17411 23569 15534
1663,37062 10031 5967 30810 30265
1664,12635 28198 14653 31298 34883
1667,22965 28840 6178 20532 30694
1670,35999 20532 28198 22965 7930
1675,14653 28198 3021 11906 8155
1681,14653 24815 27595 15803 28200
1684,9548 37062 5002 24163 34883
1685,15672 23729 27355 8108 20534
1686,9548 18512 28198 30187 21511
1693,4187 3904 23500 21108 5550
1696,35988 26459 2329 19476 18512
1699,22965 11977 4495 19130 15803
1707,18512 28207 26459 17034 4478
1713,29283 3960 30187 27842 28207
1719,9548 18512 34885 24297 7492
1723,10517 30266 28073 23360 33933
1726,29578 17236 31119 30187 34092
1727,28198 9548 23360 30172 35458
1728,8720 33827 18607 4753 8336
1734,20080 27110 35713 30274 19112
1739,22965 30187 17352 7948 10921
1740,14653 28198 434 14692 20144
1750,29283 20144 28198 11070 14653
1756,30266 9548 13672 17034 7318
1757,28198 19112 23360 13672 20731
1760,9548 23360 19112 23261 28198
1761,28198 14046 24815 20144 35407
1764,14653 27595 855 11862 18512
1765,19476 27827 21511 1103 18211
1766,1378 3751 10834 5779 28271
1767,19130 29103 19845 2871 2003
1768,30414 19476 30266 7337 28207
1773,28198 30172 23360 9548 31308
1782,30266 26459 36583 9548 30845
1785,855 1819 26540 31632 110
1786,2003 27110 34716 10119 24149
1787,18512 28207 31119 30187 29283
1788,30187 28207 9548 25812 34664
1789,9548 30187 37062 24297 28840
1792,17236 28207 10782 19476 14073
1796,13489 22965 14415 13159 9548
1800,28198 32291 35646 35458 18607
1803,26459 12922 8884 27323 30266
1804,27595 29283 30187 26246 9548
1805,37062 20532 34092 29578 2440
1806,12450 23485 12094 19920 35988
1807,24149 30414 27973 35982 12778
1808,31119 9089 29578 14371 8964
1812,25812 27355 33267 25016 34664
1813,19476 18512 27323 18921 3751
1816,30266 9020 17099 10517 36271
1818,28198 35646 9548 20731 23317
1820,9089 27595 12450 30187 4310
1823,34664 22965 33745 28271 7948
1827,28198 14046 28840 24815 35646
1829,27595 9548 8884 19584 29579
1833,14653 31632 30072 9009 19831
1845,25812 30266 28207 17447 22640
1857,27595 34303 22880 12450 4753
1858,9548 27842 30266 30187 18480
1862,2232 21088 33827 19845 8999
1866,9548 27676 17099 3282 13672
1874,9548 34883 28198 31298 34177
1875,7156 3904 23707 1715 26222
1876,10834 13981 19112 35941 13897
1879,21788 14653 10921 21108 13981
1881,22965 35941 19112 27842 34283
1883,30266 30187 27842 18480 9548
1885,27827 4401 10782 13981 32187
1888,31804 711 23345 27142 24822
1898,17590 3021 27614 33874 32873
1899,3751 7948 20182 19112 3410
1900,37062 34326 15076 34092 20699
1901,30610 26607 35646 18908 1740
1906,28271 17256 5775 17447 27180
1910,30266 15434 7492 23777 28185
1911,9548 4478 34885 30266 8967
1918,30266 18480 1740 31730 7492
1919,20934 3960 27595 19592 26222
1920,31632 30266 31730 1819 7570
1933,28207 19476 34283 30187 18512
1935,9548 35988 30187 22965 8967
1936,13489 31632 33146 3951 31177
1938,28198 18512 12635 36035 7930
1940,22965 34283 28840 17034 25812
1941,18512 2329 26540 18921 19476
1943,18512 7562 26540 28840 14653
1944,28271 31002 18729 36960 17159
1945,18477 31119 19111 18512 26607
1947,21354 36927 35988 18512 7594
1948,30414 27323 27595 7337 26110
1950,13981 10603 19584 24585 32187
1952,30266 9548 31730 1819 28207
1954,14653 24815 20144 27595 33238
1955,27595 14653 855 29283 18512
1956,28198 9548 23360 30172 13489
1957,34756 31786 24098 30266 30414
1963,27323 21557 10834 19476 30951
1964,27595 12876 14195 35140 20539
1976,24149 2003 12778 26540 30414
1977,30182 21346 19111 19112 10031
1978,28198 11652 31119 9784 17411
1981,24815 15803 855 36853 28207
1985,21775 22917 8720 36960 27323
1986,27595 33953 30187 13981 19584
1991,30266 31730 9548 1819 16141
1993,30668 8108 3944 9089 30414
1999,3960 22594 12086 29283 31756
2007,28198 28207 18512 30106 31119
2009,18512 24815 9784 22965 10921
2011,28198 19112 13672 27842 27110
2013,7524 111 15803 10119 8720
2017,18512 28198 28840 32800 20731
2020,26607 855 26540 30694 28840
2027,31632 26760 15909 10745 8605
2028,27595 14653 8966 29283 8884
2037,36173 11927 19117 31406 17236
2040,32505 7581 26607 34326 32187
2041,27323 27595 13981 14653 18512
2042,27595 35670 21775 26222 27304
2045,10599 8999 27595 19592 34215
2051,28198 9548 30187 18512 17034
2052,35713 28207 20080 34283 27110
2053,30266 30409 5728 21079 22391
2054,27595 29283 855 4223 18720
2058,30266 9548 31730 1819 28207
2060,29466 12094 31119 37062 18557
2061,26972 28856 17223 20934 15929
2066,28207 30266 9548 18477 28034
2072,18512 22965 9548 21354 30187
2073,32797 4478 3282 3751 18512
2080,28198 14653 8031 18418 1819
2081,25812 22965 20144 31632 13489
2084,35646 33458 2871 7524 2232
2086,18512 30187 19112 9548 13981
2090,26607 30694 26540 7712 8260
2091,19130 111 34009 1559 30363
2095,12402 26607 24585 24297 1740
2097,252 35806 20534 37062 12639
2106,12778 24149 32849 35982 5967
2108,9548 27595 19584 28034 22880
2117,27595 13981 18512 855 14653
2119,32797 14371 4478 2329 18512
2121,18512 22965 30187 28840 21354
2124,28198 12635 8844 20731 36035
2129,28198 14371 24815 20144 19112
2130,30266 1001 1740 30610 7951
2132,28198 20144 14046 31119 24815
2133,18512 28207 19476 7337 27595
2135,28198 19112 18512 14653 15534
2136,166 20731 23360 30274 31984
2137,26540 30694 24149 24297 855
2146,30414 24098 28210 33341 31520
2147,29283 30409 26246 31308 12402
2149,30668 5847 13428 28198 7930
2155,30266 30414 2329 30668 1819
2156,20532 28840 30694 12094 30187
2157,28207 26459 10782 18512 4478
2164,22965 10921 33115 6178 20649
2167,20144 28198 14046 24728 29283
2168,30266 21354 8589 9548 28139
2179,14653 31119 12094 26459 17236
2182,25812 30266 9630 5728 34756
2186,26459 18512 28198 4578 1819
2195,31632 22965 10031 19845 12876
2202,27595 1137 29283 8966 29466
2212,30266 3951 33827 8336 12599
2227,27779 1715 12450 3260 30266
2236,14653 28198 22965 24815 855
2244,5371 28198 7930 1782 34092
2247,35999 30668 15863 21710 5531
2248,8999 12698 15928 3386 31891
2254,6254 33115 31473 10123 8646
2257,19476 32187 26607 21615 27029
2261,9548 26459 21354 17671 3076
2263,29283 9548 30187 29466 28198
2265,434 14653 12635 11927 15076
2268,12450 30266 3944 4237 9089
2270,34756 11977 2871 19130 2003
2272,25812 22965 28198 20144 33523
2273,28198 28207 30187 9548 18512
2274,5371 34092 28198 30266 17236
2280,31632 3076 1819 17034 110
2285,28198 25812 8589 31002 7318
2287,9548 30187 27180 28207 31417
2290,22965 20144 24815 23363 6178
2298,9548 28198 30187 15534 19112
2305,19261 27142 23500 21542 1399
2306,28198 8406 18512 14653 32291
2312,30694 26607 36461 34215 21293
2313,9548 28198 30187 28206 30172
2319,17099 31002 28073 23360 27667
2320,27595 855 24149 35670 13981
2324,28198 30172 15076 11927 23261
2326,9548 13489 30187 28206 31537
2330,3751 14653 18512 4478 27676
2338,12094 19476 8260 25442 21710
2341,30266 3412 12450 29425 32666
2345,36608 18211 20873 26459 8589
2346,32797 14653 26459 4478 14371
2347,14653 7567 35988 9089 7562
2351,35999 2871 15863 23826 12271
2352,19111 14371 855 31119 21028
2357,29283 9089 20144 30187 9548
2360,28207 25992 5054 14371 17236
2361,37062 16884 9548 10031 30187
2366,9548 30187 28207 24297 24585
2368,22965 6178 35988 28840 26615
2369,18512 30187 28207 9548 9784
2374,19111 14371 23868 15520 19112
2379,31632 20144 14653 30072 36828
2388,9548 35646 28198 23317 30266
2394,29466 21775 3960 1267 12402
2397,22965 17034 35999 28840 8589
2398,30266 25812 26246 21079 21229
2399,1258 18908 6132 30718 35646
2403,34092 29845 37062 5371 30187
2404,28207 27595 19476 8720 14371
2407,30266 37062 28185 29330 23777
2409,26607 28207 12094 23619 10551
2410,10119 19476 11977 10099 28905
2414,9548 13981 15804 24391 19584
2421,14371 9089 22965 31119 11578
2426,26246 3412 30409 29283 25812
2428,24297 26540 30694 26607 21293
2435,9548 35988 21354 26459 22480
2442,18512 26540 855 28840 13981
2448,28271 17130 27091 14073 17157
2449,30187 9548 19272 8967 31417
2452,22965 27595 33953 855 28840
2455,4181 34177 10603 13420 13981
2466,28198 14653 18512 14046 11862
2467,19476 27595 22965 33953 1103
2472,22965 4077 25812 505 34035
2474,14653 31632 30668 30414 1819
2480,27110 20080 21511 28207 13672
2489,14653 12635 9009 14692 32797
2496,3904 27142 9548 22920 23777
2500,6721 28198 31119 32797 7930
2502,28198 13489 14653 31632 21737
2504,28198 22965 20144 17034 25812
2506,19476 10850 1103 22965 3943
2508,9548 35988 29579 9089 30187
2512,27842 29283 30187 31796 19112
2519,21775 35713 14371 11528 23868
2520,28207 30266 9548 30187 18607
2521,14653 23431 9548 21354 5474
2524,28840 855 26540 18512 1819
2528,27029 19476 32187 28034 28207
2543,30409 21775 19111 29283 14371
2547,26607 4113 29466 31308 32733
2549,7110 36449 15434 8999 33874
2551,22965 34283 28840 29845 34009
2557,19111 31119 32797 23569 1010
2560,19845 4063 31632 33146 21819
2561,22965 3282 7948 29845 28610
2564,27827 14073 17307 19476 11788
2569,28198 14653 13489 18512 19112
2570,27595 22594 28034 28185 12450
2571,14653 9089 24391 26305 27731
2581,28198 28207 18512 28840 8031
2582,22965 13489 7064 13159 28198
2585,16884 9089 12876 37062 7567
2591,14653 9089 35988 31015 7520
2595,10599 32504 17307 9213 19935
2597,14653 27323 32215 855 27595
2599,9548 13981 19584 30187 18512
2602,30172 9548 5624 18231 7678
2603,10782 14371 31119 7565 1153
2604,9548 30187 27595 18512 28207
2610,14653 24815 33238 22965 20144
2617,28198 30548 11906 36705 14046
2621,28198 28207 30187 28840 18512
2623,28073 17099 34268 11617 10517
2624,28198 14653 13489 19112 11862
2629,9548 28198 13489 34883 18512
2631,29283 3960 7156 31756 22594
2633,32797 6721 14653 12635 25442
2638,14692 1378 36608 14653 23826
2644,37062 9548 34885 30266 10517
2645,9548 30266 18512 21354 26459
2647,14653 24391 9009 32797 27323
2648,7950 8884 3021 23119 3412
2651,14653 4602 7524 32917 10603
2654,22965 28198 30187 20144 11578
2655,1399 19845 22965 4495 36154
2658,28207 30187 20080 27842 34283
2661,8720 27323 7337 22917 14591
2662,36705 28198 14046 30548 35407
2667,30266 9548 31730 26459 16141
2674,28207 9548 18512 26459 4478
2675,18512 7562 26540 28840 14653
2680,4187 13015 13011 5550 20821
2686,30694 8796 15764 4602 26540
2690,12852 35140 17671 17215 9089
2696,7194 21511 711 13489 30059
2697,31119 19111 23569 29283 19112
2699,22965 34283 6178 28840 28198
2701,18512 34664 7948 9784 28207
2709,25812 28198 27842 34521 3428
2712,13981 24391 13197 19584 23500
2713,22965 7948 34664 25812 30187
2716,31119 26607 34092 12094 28207
2718,14692 13716 20534 35964 14653
2721,9548 9089 30187 11578 17671
2728,12883 1662 19111 1902 30810
2729,19112 31473 14371 3282 31119
2734,28198 7930 2440 29578 27614
2737,5371 5728 17236 30548 45
2743,27595 9089 9548 35666 12876
2751,30137 19476 28207 31804 22640
2762,30266 5728 33874 45 21079
2764,28198 35044 3021 8589 17590
2772,9548 30266 29579 27595 30187
2775,29283 27595 30187 14371 20144
2776,30694 26540 21293 2003 855
2782,32797 4478 18512 3282 14653
2784,24594 27827 34177 32187 4181
2785,37062 33121 34885 12094 10517
2795,18512 13981 14653 34903 7562
2800,20731 7492 3951 35458 26540
2801,19883 26607 12402 7118 30198
2808,5054 5728 17236 14371 27469
2812,30266 26459 28207 27595 9548
2813,20144 22965 6135 25812 8999
2816,18512 13981 20731 27317 35746
2823,14653 13489 31632 19112 21737
2829,14653 31632 30072 17590 23476
2830,22965 21354 28840 11570 9548
2832,8999 20144 10621 3904 5002
2835,9548 27676 17099 3282 13672
2837,28198 19112 30182 2535 31308
2839,3412 12450 9089 7105 24163
